Max d-sw TS,Min d-sw TS,Mean d-sw TS,Thompson Sampling,Sliding Window TS,Discounted TS,random
0.015631594415368502,0.015696310459308773,0.01580951014012839,0.014246713791907376,0.015859916035738636,0.015710407023335368,0.006872288547267915
0.015681786726675313,0.015801821105204793,0.015805238454059727,0.014250131140762307,0.015857566608400868,0.015659787543421688,0.006842386744787261
0.015696310459308773,0.01532360584981777,0.015763803099193677,0.014250771893672607,0.015883837477723158,0.015649749081160326,0.006881899840922411
0.015702504404108336,0.015710193439031933,0.015762308009069644,0.014241587768624978,0.015871449588124028,0.015668117331255584,0.006903899024176034
0.01572108623850703,0.015742017500243486,0.015776831741703103,0.014259101681506504,0.015838771189698744,0.01564996266546376,0.0068970643264661706
0.015685631244137112,0.015732619790892424,0.015776190988792804,0.014249703972155442,0.015847528146139506,0.015670893927200218,0.006867589692592384
0.0157080575959976,0.015633730258402832,0.015803102611025393,0.014257393007079039,0.015850731910691005,0.01569225235754354,0.006880404750798378
0.015670893927200218,0.015713397203583432,0.015828732727437383,0.014260596771630536,0.015877857117227025,0.015716173799528065,0.006914364655044263
0.01568904859299204,0.015440436463795752,0.015809082971521525,0.014239024756983779,0.015844537965891442,0.015685417659833677,0.006836833552897997
0.01569011651450921,0.015723862834451662,0.015779608337647737,0.014256325085561872,0.015847314561836072,0.0157074168430873,0.006867589692592384
