article_id,topic_id,category_label,percentage
1502,1,justice,66.23
1503,0,local_politics,30.91
1503,1,justice,66.23
1504,1,justice,83.28
1505,0,local_politics,25.28
1505,4,sport_cultural_events,58.37
1506,0,local_politics,44.04
1506,1,justice,53.86
1507,0,local_politics,77.89
1507,3,crime_news,21.13
1508,0,local_politics,67.64
1508,3,crime_news,30.1
1509,0,local_politics,62.12
1509,2,education_social,30.96
1510,0,local_politics,37.33
1510,2,education_social,42.52
1511,0,local_politics,67.43
1511,2,education_social,29.92
1512,0,local_politics,85.99
1513,0,local_politics,97.25
1514,0,local_politics,97.25
1515,2,education_social,91.9
1516,2,education_social,96.98
1517,0,local_politics,96.07
1518,0,local_politics,67.29
1518,3,crime_news,31.26
1519,0,local_politics,81.61
1520,0,local_politics,67.43
1520,3,crime_news,30.81
1521,0,local_politics,96.64
1522,0,local_politics,46.53
1522,3,crime_news,46.45
1523,0,local_politics,44.04
1523,1,justice,37.81
1524,2,education_social,79.8
1525,3,crime_news,85.18
1526,0,local_politics,60.19
1526,1,justice,23.79
1527,0,local_politics,46.53
1527,2,education_social,23.16
1527,3,crime_news,29.5
1528,1,justice,78.29
1529,0,local_politics,96.87
1530,0,local_politics,68.78
1532,0,local_politics,87.51
1533,0,local_politics,39.71
1533,3,crime_news,58.75
1534,0,local_politics,29.57
1534,2,education_social,34.46
1534,3,crime_news,35.15
1535,0,local_politics,77.95
1535,3,crime_news,20.51
1536,2,education_social,78.47
1537,0,local_politics,21.49
1537,3,crime_news,77.28
1538,0,local_politics,95.26
1539,0,local_politics,67.29
1539,1,justice,24.37
1540,4,sport_cultural_events,84.91
1541,0,local_politics,90.06
1542,3,crime_news,78.85
1543,0,local_politics,96.38
1545,3,crime_news,81.94
1546,2,education_social,61.92
1546,4,sport_cultural_events,34.56
1547,0,local_politics,54.74
1547,3,crime_news,22.57
1549,2,education_social,54.5
1549,3,crime_news,31.26
1550,1,justice,58.92
1550,2,education_social,37.23
1551,3,crime_news,96.98
1552,2,education_social,38.86
1552,3,crime_news,52.37
1554,0,local_politics,20.87
1554,2,education_social,47.67
1554,3,crime_news,30.1
1555,2,education_social,54.5
1555,3,crime_news,37.25
1556,3,crime_news,93.21
1557,3,crime_news,89.97
1558,3,crime_news,96.54
1560,0,local_politics,24.36
1560,3,crime_news,74.83
1561,3,crime_news,91.67
1562,3,crime_news,88.68
1563,1,justice,51.41
1563,3,crime_news,46.0
1564,3,crime_news,98.08
1565,3,crime_news,98.08
1566,3,crime_news,70.29
1567,1,justice,24.49
1567,3,crime_news,73.55
1568,2,education_social,95.66
1569,0,local_politics,89.62
1570,3,crime_news,83.21
1571,3,crime_news,62.89
1572,0,local_politics,52.18
1572,2,education_social,40.12
1573,0,local_politics,54.74
1573,4,sport_cultural_events,43.22
1574,0,local_politics,90.06
1575,0,local_politics,84.94
1576,0,local_politics,90.7
1577,0,local_politics,96.87
1578,0,local_politics,97.25
1579,0,local_politics,67.19
1579,4,sport_cultural_events,25.79
1580,0,local_politics,60.09
1580,4,sport_cultural_events,32.52
1581,0,local_politics,96.87
1582,0,local_politics,96.87
1583,0,local_politics,76.99
1583,3,crime_news,20.75
1584,0,local_politics,76.99
1585,0,local_politics,96.87
1586,0,local_politics,20.62
1586,1,justice,39.1
1586,2,education_social,39.13
1588,1,justice,80.61
1589,0,local_politics,75.94
1589,4,sport_cultural_events,22.38
1590,1,justice,49.4
1590,3,crime_news,49.73
1591,0,local_politics,83.26
1592,0,local_politics,67.43
1593,0,local_politics,74.73
1593,2,education_social,22.62
1594,0,local_politics,28.0
1594,2,education_social,50.57
1595,2,education_social,95.95
1596,0,local_politics,47.17
1596,2,education_social,37.33
1597,0,local_politics,28.88
1597,1,justice,55.47
1598,3,crime_news,74.12
1599,0,local_politics,61.85
1599,3,crime_news,36.08
1600,0,local_politics,97.97
1601,1,justice,79.33
1602,0,local_politics,77.95
1603,0,local_politics,80.62
1605,0,local_politics,44.75
1605,2,education_social,52.15
1609,0,local_politics,87.51
1610,0,local_politics,49.22
1610,1,justice,48.11
1611,0,local_politics,99.56
1612,0,local_politics,26.97
1612,2,education_social,70.72
1613,0,local_politics,78.96
1614,2,education_social,22.62
1614,3,crime_news,74.63
1615,0,local_politics,77.6
1615,3,crime_news,21.88
1616,3,crime_news,89.97
1617,1,justice,51.62
1617,3,crime_news,45.42
1618,3,crime_news,97.71
1619,3,crime_news,89.69
1620,0,local_politics,53.98
1620,3,crime_news,43.52
1621,3,crime_news,88.99
1622,4,sport_cultural_events,94.26
1623,0,local_politics,34.95
1623,3,crime_news,63.88
1624,3,crime_news,97.33
1625,0,local_politics,23.03
1625,3,crime_news,74.48
1626,3,crime_news,99.01
1627,3,crime_news,80.61
1628,3,crime_news,85.34
1629,1,justice,29.71
1629,2,education_social,59.14
1630,3,crime_news,33.24
1630,4,sport_cultural_events,47.89
1631,3,crime_news,20.99
1631,4,sport_cultural_events,74.08
1632,0,local_politics,58.98
1632,1,justice,22.25
1633,0,local_politics,52.82
1633,3,crime_news,45.42
1634,0,local_politics,51.5
1634,4,sport_cultural_events,23.66
1635,3,crime_news,48.53
1635,4,sport_cultural_events,46.91
1636,0,local_politics,86.35
1637,0,local_politics,83.2
1638,0,local_politics,53.9
1638,3,crime_news,45.03
1639,3,crime_news,83.17
1640,0,local_politics,63.18
1640,1,justice,35.29
1641,0,local_politics,40.71
1641,3,crime_news,56.79
1642,0,local_politics,95.26
1643,0,local_politics,49.1
1643,4,sport_cultural_events,40.01
1644,2,education_social,52.59
1644,3,crime_news,43.52
1645,0,local_politics,57.04
1645,1,justice,40.97
1646,0,local_politics,45.51
1646,1,justice,51.62
1647,0,local_politics,92.19
1648,3,crime_news,84.69
1649,3,crime_news,96.78
1650,3,crime_news,98.23
1651,3,crime_news,89.23
1652,3,crime_news,96.78
1653,3,crime_news,99.12
1654,3,crime_news,97.6
1655,3,crime_news,86.02
1656,3,crime_news,97.47
1657,3,crime_news,97.47
1658,3,crime_news,92.12
1659,3,crime_news,97.47
1660,3,crime_news,98.3
1664,3,crime_news,88.39
1665,3,crime_news,95.95
1666,3,crime_news,79.19
1667,3,crime_news,96.54
1668,3,crime_news,96.54
1669,3,crime_news,96.54
1670,0,local_politics,65.2
1671,0,local_politics,62.12
1671,1,justice,30.81
1672,3,crime_news,29.5
1672,4,sport_cultural_events,62.62
1673,0,local_politics,24.8
1673,1,justice,69.68
1674,2,education_social,76.42
1675,0,local_politics,98.81
1676,1,justice,81.27
1677,4,sport_cultural_events,94.75
1678,4,sport_cultural_events,89.72
1679,0,local_politics,33.35
1679,2,education_social,31.34
1679,3,crime_news,33.15
1680,4,sport_cultural_events,73.61
1681,4,sport_cultural_events,95.82
1682,4,sport_cultural_events,63.65
1683,0,local_politics,67.43
1683,2,education_social,29.92
1684,0,local_politics,95.26
1685,2,education_social,66.64
1685,3,crime_news,32.98
1686,0,local_politics,96.94
1687,0,local_politics,86.84
1688,3,crime_news,96.78
1689,3,crime_news,94.56
1690,3,crime_news,96.27
1691,3,crime_news,97.47
1692,3,crime_news,96.54
1693,3,crime_news,96.78
1694,0,local_politics,29.29
1694,3,crime_news,45.43
1694,4,sport_cultural_events,24.61
1695,3,crime_news,84.8
1696,3,crime_news,93.85
1697,3,crime_news,87.4
1698,3,crime_news,95.57
1699,3,crime_news,83.17
1700,3,crime_news,80.51
1701,1,justice,73.53
1701,3,crime_news,23.5
1702,0,local_politics,61.05
1703,3,crime_news,84.13
1704,3,crime_news,23.84
1704,4,sport_cultural_events,56.96
1705,0,local_politics,74.73
1706,2,education_social,85.09
1707,0,local_politics,70.41
1707,2,education_social,26.49
1708,0,local_politics,61.85
1709,0,local_politics,93.27
1710,3,crime_news,98.23
1711,4,sport_cultural_events,96.88
1712,4,sport_cultural_events,89.02
1713,2,education_social,89.15
1717,0,local_politics,95.7
1718,0,local_politics,28.8
