Max d-sw TS,Min d-sw TS,Mean d-sw TS,Thompson Sampling,Sliding Window TS,Discounted TS,random
0.009280388727870108,0.01030547368735724,0.009771733798589284,0.007815865173608138,0.007948484860837652,0.006361396800550046,0.005108575574877809
0.009421433026378545,0.01044787679413647,0.009697271105349764,0.007809071132254168,0.007875924499177242,0.006329600687013462,0.0050998792019447264
0.009315989504564916,0.010268514102391638,0.009743742348210925,0.007896306623239153,0.007924026311963355,0.0063130232261097725,0.00509444396886155
0.009379581731638085,0.01035928249488069,0.00975868923918966,0.007828366209699445,0.007916960508955226,0.006369549650174811,0.005062376093670807
0.0093524055662222,0.010396242079846291,0.009696455820387287,0.00781341931872071,0.00801180532625666,0.006337481774984068,0.005066724280137348
0.009351046757951407,0.010369065914430408,0.009659224473767526,0.007800374759321085,0.00793924496459625,0.006217091362191703,0.0050585714305125835
0.009345339763214071,0.010506577311434779,0.009732600120390412,0.007828637971353605,0.008002837191669419,0.006370636696791446,0.005042537492917212
0.009367624218855095,0.010452496742257171,0.009742111778285972,0.007835432012707574,0.007925928643542468,0.006307587993026596,0.005065637233520713
0.00942714002111588,0.010400862027966992,0.009739122400090224,0.007790863101425525,0.007921036933767608,0.006342373484758927,0.005063463140287442
0.00932685997073127,0.010362000111422279,0.009701347530162146,0.007812060510449915,0.0079930537721197,0.006314382034380567,0.005027590601938476
