Agent,Session,% of correct suggested site,Legend_info
Mean d-sw TS,5,0.010745727567094555,
Mean d-sw TS,5,0.010860410985149584,
Mean d-sw TS,6,0.010573430678357853,
Mean d-sw TS,6,0.010193779647497958,
Mean d-sw TS,6,0.010083987939217788,
Mean d-sw TS,6,0.010873183782895049,
Mean d-sw TS,6,0.010858508653570473,
Mean d-sw TS,6,0.010869650881390984,
Mean d-sw TS,6,0.010902805803198364,
Mean d-sw TS,6,0.009961423433192153,
Mean d-sw TS,6,0.010437549851278434,
Mean d-sw TS,6,0.010283189231716216,
Mean d-sw TS,7,0.010745184043786238,
Mean d-sw TS,7,0.010687842334758724,
Mean d-sw TS,7,0.010756054509952592,
Mean d-sw TS,7,0.010757141556569226,
Mean d-sw TS,7,0.010736759432507313,
Mean d-sw TS,7,0.01073050891446166,
Mean d-sw TS,7,0.010748988706944462,
Mean d-sw TS,7,0.010719366686641148,
Mean d-sw TS,7,0.010743009950552967,
Mean d-sw TS,7,0.010762305027998244,
Sliding Window TS,1,0.007948484860837652,
Sliding Window TS,1,0.007875924499177242,
Sliding Window TS,1,0.007924026311963355,
Sliding Window TS,1,0.007916960508955226,
Sliding Window TS,1,0.00801180532625666,
Sliding Window TS,1,0.00793924496459625,
Sliding Window TS,1,0.008002837191669419,
Sliding Window TS,1,0.007925928643542468,
Sliding Window TS,1,0.007921036933767608,
Sliding Window TS,1,0.0079930537721197,
Sliding Window TS,2,0.00889475894061872,
Sliding Window TS,2,0.008881170857910778,
Sliding Window TS,2,0.008851548837607465,
Sliding Window TS,2,0.008909434069943297,
Sliding Window TS,2,0.00882437267219158,
Sliding Window TS,2,0.008978189768445482,
Sliding Window TS,2,0.008893128370693767,
Sliding Window TS,2,0.008831981998508029,
Sliding Window TS,2,0.008823557387229104,
Sliding Window TS,2,0.00888796489926475,
Sliding Window TS,3,0.009602154526394171,
Sliding Window TS,3,0.009561390278270345,
Sliding Window TS,3,0.009518995460221568,
Sliding Window TS,3,0.009591012298573658,
Sliding Window TS,3,0.00963041773842669,
Sliding Window TS,3,0.009634494163239072,
Sliding Window TS,3,0.009616014370756272,
Sliding Window TS,3,0.00959780633992763,
Sliding Window TS,3,0.009575250122632446,
Sliding Window TS,3,0.00963965763466809,
Sliding Window TS,4,0.010104098301625543,
Sliding Window TS,4,0.010061431721922604,
Sliding Window TS,4,0.0100858902707969,
Sliding Window TS,4,0.010100565400121478,
Sliding Window TS,4,0.010060888198614287,
Sliding Window TS,4,0.010066595193351622,
Sliding Window TS,4,0.01006496462342667,
Sliding Window TS,4,0.010035614364777515,
Sliding Window TS,4,0.01006007291365181,
Sliding Window TS,4,0.010030450893348497,
Sliding Window TS,5,0.010383469282100826,
Sliding Window TS,5,0.010464726016694318,
Sliding Window TS,5,0.010428853478345351,
Sliding Window TS,5,0.010371511769317837,
Sliding Window TS,5,0.010411460732479186,
Sliding Window TS,5,0.010381566950521715,
Sliding Window TS,5,0.010403851406162741,
Sliding Window TS,5,0.010421787675337222,
Sliding Window TS,5,0.010472063581356607,
Sliding Window TS,5,0.010393524463304705,
Sliding Window TS,6,0.01064164285355172,
Sliding Window TS,6,0.010596530418961353,
Sliding Window TS,6,0.010641371091897563,
Sliding Window TS,6,0.010662568500921952,
Sliding Window TS,6,0.010661209692651157,
Sliding Window TS,6,0.01062995710242289,
Sliding Window TS,6,0.010586203476103319,
Sliding Window TS,6,0.01062071720618149,
Sliding Window TS,6,0.010602509175352848,
Sliding Window TS,6,0.010610933786631773,
Sliding Window TS,7,0.010748173421981986,
Sliding Window TS,7,0.010735672385890679,
Sliding Window TS,7,0.010738661764086426,
Sliding Window TS,7,0.010714474976866289,
Sliding Window TS,7,0.010714746738520449,
Sliding Window TS,7,0.010708767982128954,
Sliding Window TS,7,0.010749803991906937,
Sliding Window TS,7,0.010778067203939456,
Sliding Window TS,7,0.010729421867845024,
Sliding Window TS,7,0.010700615132504188,
Discounted TS,1,0.006361396800550046,
Discounted TS,1,0.006329600687013462,
Discounted TS,1,0.0063130232261097725,
Discounted TS,1,0.006369549650174811,
Discounted TS,1,0.006337481774984068,
Discounted TS,1,0.006217091362191703,
Discounted TS,1,0.006370636696791446,
Discounted TS,1,0.006307587993026596,
Discounted TS,1,0.006342373484758927,
Discounted TS,1,0.006314382034380567,
Discounted TS,2,0.009174673444402322,
Discounted TS,2,0.009253484324108384,
Discounted TS,2,0.009211361267713764,
Discounted TS,2,0.009220601163955166,
Discounted TS,2,0.009282019297795062,
Discounted TS,2,0.009247505567716889,
Discounted TS,2,0.00924288561959619,
Discounted TS,2,0.009209458936134653,
Discounted TS,2,0.009151301942144661,
Discounted TS,2,0.009241798572979553,
Discounted TS,3,0.010604955030240278,
Discounted TS,3,0.010594899849036402,
Discounted TS,3,0.010584572906178365,
Discounted TS,3,0.010612836118210884,
Discounted TS,3,0.010577507103170236,
Discounted TS,3,0.010565549590387247,
Discounted TS,3,0.010563103735499818,
Discounted TS,3,0.010602509175352848,
Discounted TS,3,0.010586203476103319,
Discounted TS,3,0.010530492337000756,
Discounted TS,4,0.009926909703113981,
Discounted TS,4,0.010790568240030763,
Discounted TS,4,0.010402764359546103,
Discounted TS,4,0.010563375497153976,
Discounted TS,4,0.010319061770065183,
Discounted TS,4,0.010273949335474816,
Discounted TS,4,0.010007351152744997,
Discounted TS,4,0.010195410217422912,
Discounted TS,4,0.01001822161891135,
Discounted TS,4,0.010312267728711211,
Discounted TS,5,0.007803364137516831,
Discounted TS,5,0.008200951437551209,
Discounted TS,5,0.007840867245790752,
Discounted TS,5,0.008901009458664373,
Discounted TS,5,0.007998760766857035,
Discounted TS,5,0.007838421390903322,
Discounted TS,5,0.007811516987141599,
Discounted TS,5,0.00785092242699463,
Discounted TS,5,0.0078052664690959435,
Discounted TS,5,0.00782238745330795,
Discounted TS,6,0.0077927654330046375,
Discounted TS,6,0.007828094448045286,
Discounted TS,6,0.00782727916308281,
Discounted TS,6,0.007809614655562486,
Discounted TS,6,0.007833529681128463,
Discounted TS,6,0.007910166467601254,
Discounted TS,6,0.008948839509796329,
Discounted TS,6,0.007809342893908327,
Discounted TS,6,0.007811516987141598,
Discounted TS,6,0.0077895042931547314,
Discounted TS,7,0.007817495743533092,
Discounted TS,7,0.007794396002929591,
Discounted TS,7,0.0078025488525543555,
Discounted TS,7,0.00904857603687262,
Discounted TS,7,0.007804179422479309,
Discounted TS,7,0.00835259444057184,
Discounted TS,7,0.007795483049546226,
Discounted TS,7,0.007810429940524962,
Discounted TS,7,0.007828637971353605,
Discounted TS,7,0.00782238745330795,
Thompson Sampling,1,0.007815865173608138,
Thompson Sampling,1,0.007809071132254168,
Thompson Sampling,1,0.007896306623239153,
Thompson Sampling,1,0.007828366209699445,
Thompson Sampling,1,0.00781341931872071,
Thompson Sampling,1,0.007800374759321085,
Thompson Sampling,1,0.007828637971353605,
Thompson Sampling,1,0.007835432012707574,
Thompson Sampling,1,0.007790863101425525,
Thompson Sampling,1,0.007812060510449915,
Thompson Sampling,2,0.00889475894061872,
Thompson Sampling,2,0.008881170857910778,
Thompson Sampling,2,0.008851548837607465,
Thompson Sampling,2,0.008909434069943297,
Thompson Sampling,2,0.00882437267219158,
Thompson Sampling,2,0.008978189768445482,
Thompson Sampling,2,0.008893128370693767,
Thompson Sampling,2,0.008831981998508029,
Thompson Sampling,2,0.008823557387229104,
Thompson Sampling,2,0.00888796489926475,
Thompson Sampling,3,0.007806897039020897,
Thompson Sampling,3,0.009715750897832566,
Thompson Sampling,3,0.007822115691653793,
Thompson Sampling,3,0.0078071688006750555,
Thompson Sampling,3,0.00942252007299518,
Thompson Sampling,3,0.007812332272104074,
Thompson Sampling,3,0.00781287579541239,
Thompson Sampling,3,0.007835975536015893,
Thompson Sampling,3,0.00781341931872071,
Thompson Sampling,3,0.009628515406847579,
Thompson Sampling,4,0.007800918282629403,
Thompson Sampling,4,0.007827822686391128,
Thompson Sampling,4,0.007814506365337344,
Thompson Sampling,4,0.007813962842029027,
Thompson Sampling,4,0.007814778126991504,
Thompson Sampling,4,0.007809071132254168,
Thompson Sampling,4,0.007797113619471179,
Thompson Sampling,4,0.007815321650299821,
Thompson Sampling,4,0.007818854551803886,
Thompson Sampling,4,0.007806897039020897,
Thompson Sampling,5,0.007800102997666926,
Thompson Sampling,5,0.007770752739017772,
Thompson Sampling,5,0.007876739784139717,
Thompson Sampling,5,0.00781369108037487,
Thompson Sampling,5,0.007823746261578744,
Thompson Sampling,5,0.007823474499924588,
Thompson Sampling,5,0.00781722398187893,
Thompson Sampling,5,0.007815865173608138,
Thompson Sampling,5,0.007834616727745098,
Thompson Sampling,5,0.007807984085637531,
Thompson Sampling,6,0.007811788748795756,
Thompson Sampling,6,0.007828366209699445,
Thompson Sampling,6,0.008222692369883917,
Thompson Sampling,6,0.007810429940524962,
Thompson Sampling,6,0.007782166728492443,
Thompson Sampling,6,0.007799559474358608,
Thompson Sampling,6,0.007809071132254168,
Thompson Sampling,6,0.007829181494661922,
Thompson Sampling,6,0.007821028645037156,
Thompson Sampling,6,0.008649086405259132,
Thompson Sampling,7,0.0078039076608251495,
Thompson Sampling,7,0.007816136935262298,
Thompson Sampling,7,0.007819126313458045,
Thompson Sampling,7,0.007808799370600009,
Thompson Sampling,7,0.007829725017970239,
Thompson Sampling,7,0.00786722812624416,
Thompson Sampling,7,0.007980552736028393,
Thompson Sampling,7,0.007801190044283562,
Thompson Sampling,7,0.007818854551803886,
Thompson Sampling,7,0.007821572168345474,
random,1,0.005108575574877809,
random,1,0.0050998792019447264,
random,1,0.00509444396886155,
random,1,0.005062376093670807,
random,1,0.005066724280137348,
random,1,0.0050585714305125835,
random,1,0.005042537492917212,
random,1,0.005065637233520713,
random,1,0.005063463140287442,
random,1,0.005027590601938476,
random,2,0.005101509771869679,
random,2,0.0051050426733737445,
random,2,0.005041993969608894,
random,2,0.0050664525184831895,
random,2,0.00511074966811108,
random,2,0.005074605368107955,
random,2,0.0050952592538240265,
random,2,0.0050153613275013284,
random,2,0.005130860030518834,
random,2,0.005088193450815896,
random,3,0.0051031403417946325,
random,3,0.005110477906456921,
random,3,0.005041993969608894,
random,3,0.005107216766607015,
random,3,0.005054766767354359,
random,3,0.00502432946208857,
random,3,0.0050650937102123955,
random,3,0.005137110548564487,
random,3,0.005104227388411268,
random,3,0.005068083088408143,
random,4,0.005133849408714581,
random,4,0.005090911067357485,
random,4,0.00509199811397412,
random,4,0.005076779461341226,
random,4,0.005110206144802763,
random,4,0.0051110214297652385,
random,4,0.005044983347804641,
random,4,0.005062104332016648,
random,4,0.005059114953820901,
random,4,0.005090911067357485,
random,5,0.005040906922992258,
random,5,0.005118358994427527,
random,5,0.0050506903425419775,
random,5,0.005124337750819022,
random,5,0.0050335693583299715,
random,5,0.005094987492169867,
random,5,0.005070528943295572,
random,5,0.005022970653817776,
random,5,0.005085747595928467,
random,5,0.00504960329592534,
random,6,0.005104499150065426,
random,6,0.005057484383895948,
random,6,0.0050729747981830015,
random,6,0.005089280497432532,
random,6,0.005133849408714581,
random,6,0.005061289047054171,
random,6,0.005104770911719585,
random,6,0.0050664525184831895,
random,6,0.0051430893049559815,
random,6,0.005097433347057297,
random,7,0.005136567025256169,
random,7,0.0050985203936739325,
random,7,0.005060745523745854,
random,7,0.005074605368107955,
random,7,0.00509199811397412,
random,7,0.005072431274874684,
random,7,0.005070257181641414,
random,7,0.00511536961623178,
random,7,0.005085475834274308,
random,7,0.004984108737273062,
