tmp,"(0.9, 100)","(0.9, 200)","(0.9, 400)","(0.9, 800)","(0.95, 100)","(0.95, 200)","(0.95, 400)","(0.95, 800)","(0.99, 100)","(0.99, 200)","(0.99, 400)","(0.99, 800)","(0.999, 800)","(0.9999, 800)","(0.99999, 800)"
0,0.16501088087803956,0.16860630144762986,0.17286403633267106,0.17210710568644147,0.17135017504021194,0.17513482827135965,0.1757025262560318,0.17390481597123664,0.1808118081180812,0.18611032264168795,0.18014949380263034,0.17352635064812186,0.18365029804144195,0.19112498817295864,0.19490964140410635
0,0.17239095467877755,0.16775475447062166,0.17021477907086766,0.16993093007853155,0.174094048632794,0.18109565711041725,0.1693632320938594,0.17163402403254802,0.1843126123568928,0.17655407323304,0.1840287633645568,0.17352635064812186,0.19017882486517174,0.1967073516889015,0.1932065474500899
0,0.1729586526634497,0.17466174661746614,0.16614627684738387,0.16661935850127732,0.1720124893556628,0.16898476677074464,0.16851168511685116,0.1792033304948434,0.18260951840287634,0.1757025262560318,0.1832718327183272,0.18109565711041725,0.1867726369571388,0.18639417163402405,0.1857318573185732
0,0.17276942000189233,0.16614627684738387,0.1729586526634497,0.17248557100955625,0.1719178730248841,0.16926861576308072,0.1680386034629577,0.16879553410918724,0.17721638754849087,0.18383953070299933,0.17967641214873686,0.17759485287160565,0.1898949758728357,0.1893272778881635,0.18601570631090927
0,0.17532406093291705,0.1719178730248841,0.16879553410918724,0.17324250165578578,0.16245623994701486,0.16784937080140033,0.1681332197937364,0.16974169741697415,0.18743495127258966,0.17494559560980225,0.17787870186394172,0.17977102847951554,0.18951651054972088,0.1891380452266061,0.19244961680386036
0,0.16406471757025262,0.17608099157914656,0.17522944460213832,0.17021477907086766,0.1683224524552938,0.17324250165578578,0.17125555870943324,0.17210710568644147,0.17854101617939255,0.18450184501845016,0.17579714258681048,0.17352635064812186,0.1867726369571388,0.1856372409877945,0.18450184501845018
0,0.17220172201722014,0.16775475447062166,0.17210710568644147,0.1719178730248841,0.17399943230201534,0.17153940770176931,0.17144479137099064,0.17286403633267106,0.18005487747185164,0.1793925631564008,0.1804333427949664,0.18478569401078626,0.1867726369571388,0.1904626738575078,0.1904626738575078
0,0.1695524647554168,0.17068786072476108,0.1619831582931214,0.16794398713217906,0.1792033304948434,0.17068786072476108,0.17229633834799887,0.16964708108619547,0.17901409783328606,0.1745671302866875,0.17324250165578578,0.1805279591257451,0.18024411013340905,0.19093575551140127,0.1880972655880405
0,0.1730532689942284,0.16794398713217906,0.16907938310152332,0.16605166051660514,0.17125555870943324,0.17352635064812186,0.18232566941054024,0.17475636294824487,0.17835178351783518,0.17381019964045796,0.17267480367111362,0.1821364367489829,0.1868672532879175,0.19017882486517174,0.1952881067272211
0,0.1683224524552938,0.16605166051660514,0.1656731951934904,0.1705932443939824,0.1744725139559088,0.1729586526634497,0.17040401173242498,0.17210710568644147,0.1744725139559088,0.17740562021004824,0.17873024884094996,0.1832718327183272,0.18611032264168795,0.18724571861103226,0.19651811902734412
