Max d-sw TS,Min d-sw TS,Mean d-sw TS,Thompson Sampling,Sliding Window TS,Discounted TS,random
0.010653056843026393,0.010561473165574865,0.010745184043786238,0.0078039076608251495,0.010748173421981986,0.007817495743533092,0.005136567025256169
0.010604139745277802,0.010769914354314692,0.010687842334758724,0.007816136935262298,0.010735672385890679,0.007794396002929591,0.0050985203936739325
0.01062316306106892,0.010830788964846272,0.010756054509952592,0.007819126313458045,0.010738661764086426,0.0078025488525543555,0.005060745523745854
0.010610933786631773,0.010806330415971977,0.010757141556569226,0.007808799370600009,0.010714474976866289,0.00904857603687262,0.005074605368107955
0.010616912543023266,0.010769370831006373,0.010736759432507313,0.007829725017970239,0.010714746738520449,0.007804179422479309,0.00509199811397412
0.010575061248282806,0.010769370831006373,0.01073050891446166,0.00786722812624416,0.010708767982128954,0.00835259444057184,0.005072431274874684
0.010618814874602379,0.010853616943795613,0.010748988706944462,0.007980552736028393,0.010749803991906937,0.007795483049546226,0.005070257181641414
0.010591366947532337,0.010843290000937578,0.010719366686641148,0.007801190044283562,0.010778067203939456,0.007810429940524962,0.00511536961623178
0.010624793630993874,0.010844648809208372,0.010743009950552967,0.007818854551803886,0.010729421867845024,0.007828637971353605,0.005085475834274308
0.01058783404602827,0.010776708395668662,0.010762305027998244,0.007821572168345474,0.010700615132504188,0.00782238745330795,0.004984108737273062
