,Oracle,Thompson Sampling,Discounted TS,Sliding Window TS,Max d-sw TS,Min d-sw TS,Mean d-sw TS
0.001,781.0753930279164,749.4246085758051,729.7874472735587,700.1404095267598,736.7838121290006,758.8129839129,758.9382227394678
0.002,767.3829871549135,725.8531947329001,711.5753007986293,685.2038026364693,718.5825042277777,738.590202698856,738.6904979640585
0.003,763.000384715406,710.4657761650358,704.2098499661721,680.9093436913955,710.9863592823757,727.4775512515463,729.286056483529
0.004,756.2833228699844,702.2642756071592,697.1735901197068,673.5862872767997,703.8650521470574,719.7197163128109,722.1387882763157
0.005,755.0554258306623,694.194155759617,695.3601503051103,674.013500408558,701.9917737665787,715.7651422646142,718.0542452814852
0.01,754.9247515918751,688.4954711169037,694.0998460101853,674.9559569349705,700.3637050047299,713.1429346251329,716.8643044540966
0.015,753.2060151988298,683.0922239256611,692.540271464664,674.1316415660916,698.4468578452509,709.204800011975,713.6325184990111
0.02,749.9042660873533,678.1440149941554,689.3961015216047,670.7794712026719,695.0618813342691,705.3358902294569,710.6405847312967
