,Oracle,Thompson Sampling,Discounted TS,Sliding Window TS,Max d-sw TS,Min d-sw TS,Mean d-sw TS
0.001,776.1797375948047,746.6880469825888,709.501707731762,694.3583796508605,718.7251508126919,753.8975323354243,750.6041109117175
0.002,764.1416769329566,723.907530101693,693.7520993938364,680.7177356419766,703.1199792482655,734.3308806055243,733.4409937468528
0.003,761.3784829366305,712.3995586750152,688.9950942719745,677.5878639432674,698.3770632743809,726.526521481199,727.5024971671778
0.004,759.0094392102708,701.9677284253465,685.5267760656889,675.2357100424884,694.7646489576126,720.1261721953756,723.0259593558123
0.005,755.817127240873,696.2485661918114,682.0102743009671,671.8626577652595,691.2694861903391,716.0808393384415,719.3123298003512
0.01,746.896461308015,679.3794023703334,671.6223089780746,663.4598315047294,680.5204191354151,702.9473066613853,707.064537798473
0.015,750.6676201113314,678.2829845120532,675.9805956620834,668.7315819435153,684.7878732156673,705.2709541987266,710.7064450357504
0.02,746.8513585997363,679.2010749540525,672.1811580673559,664.742626302756,680.949086720158,704.1929668259994,707.9736236938847
