,Oracle,Thompson Sampling Bernoulli,Dynamic Thompson Sampling Bernoulli,Sliding Window Thompson Sampling Bernoulli,Max d-sw TS Bernoulli,Min d-sw TS Bernoulli,Mean d-sw TS Bernoulli
0.001,792.8622055281098,734.6070791953099,724.373644417503,715.6532247628571,732.1098189977212,753.513647599642,759.2984064830051
0.002,796.925769069676,712.893949369586,723.3796958469128,718.147795774506,730.7279317017172,740.5546570683673,753.0147447564999
0.003,797.5471498952156,689.8847174411766,718.4291530158662,714.5470678149821,725.3784106468047,723.704921509508,743.2150108434205
0.004,795.088298365917,668.5957065360369,710.223734937697,707.2621345536772,717.3390782532272,708.5713266748536,731.5408641091668
0.005,800.3850348883336,661.3191805954699,711.5446782587481,708.954189882302,718.7390044470606,705.4712812918854,731.557503996749
0.01,799.0506745398953,619.5861249222934,688.9534962157259,686.7267474501696,696.0544359752287,668.1149614815496,702.1687188167799
0.015,798.6971798855242,598.1974675513918,672.1049469634725,669.6449225599085,678.8886492181102,645.6502743707015,681.5825252387154
0.02,801.6086542962597,587.2245168130984,661.03568176377,657.5958045015689,668.0157019911619,633.2019809690554,669.2999103767041
