,Oracle,Thompson Sampling,Discounted TS,Sliding Window TS,Max d-sw TS,Min d-sw TS,Mean d-sw TS
0.001,805.4761294938976,776.5224097828972,740.2739843960804,726.168455092967,762.8970312576726,785.4668008721028,776.3404924563429
0.002,796.1328622058402,734.4007247264699,723.4779191590359,712.8214565435226,742.4112799101478,754.1405966656871,755.9611150380728
0.003,793.7701213474941,706.2162609111764,714.9728591554133,706.5344348200845,730.2084720843302,733.9942091716598,743.2702178174816
0.004,799.0308310163615,691.838663681209,715.5403036094295,708.0950054053422,727.5968334978127,727.0403291459419,741.4958326129547
0.005,800.8478068102892,672.648614739305,712.7116548225943,705.461913775027,722.441097758646,716.0912916011212,735.5430053474959
0.01,801.7725590111845,627.8153778852491,692.8982210850648,684.9652037032299,695.1442499783966,683.8713487447662,711.3792781019821
0.015,798.5956263426251,599.330063769936,672.2946013789692,662.5654764179657,669.6083445505859,659.9790892234546,689.5803700964296
0.02,800.0716081681097,586.5495628264337,659.9536223070888,647.9566508385145,654.3546573973313,646.8661822616623,676.9319184239478
